sensor_id,x_m,z_m,T_1h,T_2h,T_3h,T_4h,T_5h
D10-W15,0.015,0.01,2.2518817074893036,7.432727121428343,11.350302792425282,14.750076941455404,17.70329290680354
D10-W30,0.03,0.01,-0.6645316900332432,0.22384255166031153,4.342616891158684,8.039449441198542,11.128378413457426
D10-W45,0.045,0.01,-0.7719408768418248,-0.5477758403541202,1.1494745108942084,4.971928032659207,8.066870675724317
D10-W60,0.06,0.01,-0.8828448012243371,-0.7506963312770267,-0.5961470648364866,-0.28193187435613254,2.384061421959075
D10-W75,0.075,0.01,-0.9165205186015442,-0.8070384839812732,-0.6887701398499075,-0.5372769296861861,-0.08490170557018928
D10-W90,0.09,0.01,-0.9590529119373059,-0.8829671600186657,-0.8022115326716062,-0.7120716377697818,-0.605042016289417
D10-W120,0.12,0.01,-0.9876966483489582,-0.945715256963183,-0.8949745402159124,-0.8393877938697187,-0.7787525627995819
D50-W15,0.015,0.05,2.2518817049303266,7.43274003057445,11.351415664101012,14.762426079391219,17.75357150376442
D50-W30,0.03,0.05,-0.6645316517389119,0.22384546894875257,4.343359706286037,8.049293438112443,11.172757476641493
D50-W45,0.045,0.05,-0.7719407433255583,-0.5477688476321418,1.149938370418056,4.979258305439032,8.104643321017022
D50-W60,0.06,0.05,-0.8828442055402661,-0.7506537757644196,-0.5960413945584833,-0.28123177875397687,2.403132421836631
D50-W75,0.075,0.05,-0.9165195481822366,-0.8069678907751836,-0.6885618881055962,-0.5370236041550811,-0.08000819905049639
D50-W90,0.09,0.05,-0.9590510048697638,-0.8828237812080602,-0.8017405119159093,-0.7113775659097428,-0.6042495178978697
D50-W120,0.12,0.05,-0.9876933680307047,-0.9454422697417613,-0.8940099515697284,-0.8377876334495795,-0.7767884772965203
D90-W15,0.015,0.09,2.251881664068833,7.43298092858339,11.36079669568096,14.83253138148126,17.9647322658563
D90-W30,0.03,0.09,-0.6645302648459506,0.22388570624264048,4.349719948882068,8.10852579422135,11.361848252182199
D90-W45,0.045,0.09,-0.7719366328937554,-0.5477163327330459,1.15397819395929,5.025091553177788,8.267750885448606
D90-W60,0.06,0.09,-0.8828292649767491,-0.7503769563627429,-0.5955927441958124,-0.27650130226129477,2.48998523100812
D90-W75,0.075,0.09,-0.9164968665114088,-0.8065318318193135,-0.6876877037257145,-0.5365740488775259,-0.055913492719128044
D90-W90,0.09,0.09,-0.9590107399155272,-0.882005596997999,-0.7998756274157017,-0.7089655805947928,-0.6023042007722097
D90-W120,0.12,0.09,-0.9876299226704646,-0.9440018364614389,-0.8904108975084455,-0.8325496626334257,-0.7706727542943099
D170-W15,0.015,0.17,2.2519699717357753,7.486968562671109,11.86481231868072,16.32533356658405,20.54605680612923
D170-W30,0.03,0.17,-0.6640815312527479,0.23205953735237017,4.74625224268317,9.431284809936926,13.876191440563673
D170-W45,0.045,0.17,-0.7709336131730993,-0.546279061389896,1.4059610138552898,6.121211632740426,10.619865636478607
D170-W60,0.06,0.17,-0.8803094742714279,-0.7436379873338979,-0.5930803391470363,-0.06427600617399776,4.16444641665521
D170-W75,0.075,0.17,-0.9131361623972793,-0.7964638916142235,-0.6765885276297467,-0.529519591017447,0.8447674215340726
D170-W90,0.09,0.17,-0.9540638642745876,-0.8652615318842436,-0.7769248550668522,-0.684159059365129,-0.569242447771444
D170-W120,0.12,0.17,-0.9809949684929506,-0.918495842019297,-0.8506770454614525,-0.7829008210068764,-0.7118095531895392
D250-W15,0.015,0.25,2.747701219674127,11.944346912129674,19.899911754648542,26.280238748719967,31.52723997048588
D250-W30,0.03,0.25,-0.6595417634641763,4.3389921648631,13.2863572725322,20.24759566944448,25.903476900834733
D250-W45,0.045,0.25,-0.7261302129227829,0.028131834432713276,10.141792995950595,17.410352254065913,23.258028112769466
D250-W60,0.06,0.25,-0.7908480054607594,-0.6193239543987943,4.4403275987161805,12.188052984960791,18.356017492386115
D250-W75,0.075,0.25,-0.8066327329456726,-0.6508793701108289,2.000484989622919,9.8820201011618,16.133059796131988
D250-W90,0.09,0.25,-0.8242678067358042,-0.6572118257044508,-0.1958157417767552,6.134061521490537,12.264243497185305
D250-W120,0.12,0.25,-0.8340223151683404,-0.663738763401966,-0.4187185643407929,3.277296016111393,8.239122823914443
D290-W15,0.015,0.29,11.32256439063923,22.264620436786913,29.9733055430209,35.897992149118636,40.68279997523388
D290-W30,0.03,0.29,5.362924275664113,16.429717103896678,24.51044659101626,30.773801570149203,35.85403602226938
D290-W45,0.045,0.29,3.53763264847521,13.98716832505363,22.085095148155062,28.441032003826763,33.62343999036818
D290-W60,0.06,0.29,2.443327936553146,10.346447417933746,17.982589412186883,24.30729534540575,29.575606483054685
D290-W75,0.075,0.29,2.3110348846470288,9.20137574586414,16.353406766862634,22.537221709239418,27.77840839143596
D290-W90,0.09,0.29,2.256316882996714,8.009719969856917,13.963034100939296,19.646514778993605,24.682131083212028
D290-W120,0.12,0.29,2.2520959335800512,7.532241589331477,12.151137754741342,16.890990214908584,21.334865892938467
